imgUrl,title
https://sui.ssgcdn.com/cmpt/banner/202207/2022072217285171385923771692_663.png,샤넬
https://sui.ssgcdn.com/cmpt/banner/202207/2022072217290217490624463162_656.png,페라가모
https://sui.ssgcdn.com/cmpt/banner/202207/2022071408544663020208606020_479.jpg,몽블랑
https://sui.ssgcdn.com/cmpt/banner/202207/2022072217291500626364175636_449.png,랄프로렌
https://sui.ssgcdn.com/cmpt/banner/202207/2022072217292235974324881532_737.png,나이키
https://sui.ssgcdn.com/cmpt/banner/202207/2022072217293106766790060779_109.png,GAP
https://sui.ssgcdn.com/cmpt/banner/202207/2022072217293825100958393095_837.png,구찌
https://sui.ssgcdn.com/cmpt/banner/202207/2022072217295055984869592586_907.png,버버리
https://sui.ssgcdn.com/cmpt/banner/202207/2022072217295919357862288786_757.png,마시모두띠
https://sui.ssgcdn.com/cmpt/banner/202207/2022072217300774619162616916_799.png,휴고보스
https://sui.ssgcdn.com/cmpt/banner/202207/2022072217301614134541677454_258.png,룰루레몬
https://sui.ssgcdn.com/cmpt/banner/202207/2022072217302515229659906965_991.png,삼성
